conditions,time_on_avg,time_on_se,time_on_sd,time_on_median,time_off_avg,time_off_se,time_off_sd,time_off_median,displacement_avg,displacement_se,displacement_sd,force_avg,force_se,force_sd,trap_stiffness,myo_stiffness,num_events,N,minutes
myoV-WT_pH-7.0_0mM-Pi,216.9582905982906,17.266152945331648,417.6125261004237,101.6,626.4273204903677,66.46823161599362,1588.298693534645,270,7.980488945393504,0.4233630253760703,10.239785495044014,0.3796658027124643,0.019063427799792535,0.46108280546402197,0.04768394385426863,0.13860353506118656,585,2863062,9.54
myoV-WT_pH-7.0_30mM-Pi,139.299209486166,7.252997512600813,163.152144627043,101.9,1273.020618556701,129.6295744543027,2854.795244497186,480,6.742751081052146,0.3627244117517013,8.159283879948815,0.32343884587802335,0.01685079149286819,0.3790491815209158,0.06389728042104492,0.16308615802634424,506,4192744,13.98
myoV-S217A_pH-7.0_0mM-Pi,132.76792873051224,7.036327779263366,149.09711254460217,106.8,632.162471395881,40.62038463756704,849.150656963416,375,5.735556550482566,0.6649400957465958,14.089828018405333,0.24756363328449452,0.03064882971553094,0.6494370581944751,0.04177017499267969,0.10026358229849695,449,2074746,6.92
myoV-S217A_pH-7.0_30mM-Pi,125.95132075471699,3.7557019812013746,86.46275271437963,103.9,616.9289827255278,50.05596256838368,1142.5485904263808,345,6.764595659802753,0.3926162896122055,9.038705768000929,0.31371909560228267,0.017788136030538155,0.4095136447344493,0.05322716117558229,0.11817260963365059,530,2087561,6.96
