project,conditions,date,obs,time_off_ms,time_on_ms,displacement_nm,force,analyzer,index,hmm_state,num_windows,length_hz,start,stop,cp_found_start,cp_found_stop,is_positive,keep,cp_displacements,trap_stiffness,myo_stiffness,front_signal_ratio,back_signal_ratio,cp_time_on_dp,cp_time_on_ms,hm_event_start,hm_event_stop,cp_event_start_dp,cp_event_stop_dp,conversion,peak_nm_index
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,NA,257.6,24.3082799564042,1.11223449450406,hm-model/cp,1,2,15,1125,1165,2452,TRUE,TRUE,TRUE,TRUE,24.3082799564042,0.0481955280285894,0.0969646606393246,0.910781532549924,1.36989555806124,1288,257.6,17,31,1165,2452,75,0.285
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,255,144.6,-10.768517490441,-0.486514579170032,hm-model/cp,2,2,8,600,3571,4293,TRUE,TRUE,FALSE,TRUE,-10.768517490441,0.0494322676516659,0.122318468398324,1.95950622059519,2.93888984692044,723,144.6,49,56,3571,4293,75,0.75
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,315,51.2,-1.23342372904397,-0.0628486826155036,hm-model/cp,3,2,3,225,5850,6105,TRUE,TRUE,FALSE,TRUE,-1.23342372904397,0.0510608785926159,0.129258170454605,0.962882423030828,1.28473801254241,256,51.2,78,80,5850,6105,75,1.17
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,120,77.4,16.6415279427705,0.710849057763163,hm-model/cp,4,2,4,300,6596,6982,TRUE,TRUE,TRUE,TRUE,16.6415279427705,0.055534217299502,0.119658734333485,0.537921998714221,3.19931799076442,387,77.4,89,92,6596,6982,75,1.35
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,930,190.4,13.6238562694649,0.644807087995003,hm-model/cp,5,2,11,825,11532,12483,TRUE,TRUE,TRUE,TRUE,13.6238562694649,0.0452744256552057,0.0929713620771158,1.8838957453613,4.98543922620983,952,190.4,155,165,11532,12483,75,2.43
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,240,399,-4.65488475195282,-0.269638135421715,hm-model/cp,6,2,26,1950,13596,15590,TRUE,TRUE,FALSE,TRUE,-4.65488475195282,0.050919058452006,0.10693258831228,1.51350218921835,1.6523363301931,1995,399,182,207,13596,15590,75,2.835
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,165,70,14.4468227044871,0.583251796967249,hm-model/cp,7,2,4,300,16373,16722,TRUE,TRUE,TRUE,TRUE,14.4468227044871,0.0486767464240479,0.10387239946689,1.80683496315012,1.08962844945347,350,70,219,222,16373,16722,75,3.3
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,495,125.2,-0.935957260260095,0.0512969994888309,hm-model/cp,8,2,6,450,19173,19798,TRUE,TRUE,TRUE,TRUE,-0.935957260260095,0.0491217286485223,0.107074485428856,2.20287040133052,0.465423488171115,626,125.2,256,261,19173,19798,75,3.87
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,525,258,8.27310255029251,0.393501420026043,hm-model/cp,9,2,15,1125,22137,23426,TRUE,TRUE,TRUE,TRUE,8.27310255029251,0.0509948191239184,0.111978206424218,1.13631748485506,1.25276376433284,1290,258,297,311,22137,23426,75,4.485
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,210,262.2,-23.9834081629428,-1.05228555165958,hm-model/cp,10,2,16,1200,24371,25681,TRUE,TRUE,FALSE,TRUE,-23.9834081629428,0.056490127846272,0.126568680182129,3.02492844293907,3.16664622973844,1311,262.2,326,341,24371,25681,75,5.085
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,180,238.4,2.27130028189307,0.149311491725311,hm-model/cp,11,2,13,975,26482,27673,TRUE,TRUE,TRUE,TRUE,2.27130028189307,0.0395659500998681,0.10195059883725,1.06001284596262,0.369315327996092,1192,238.4,354,366,26482,27673,75,5.355
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,240,243,0.230245153756382,0.053171467982808,hm-model/cp,12,2,15,1125,28615,29829,TRUE,TRUE,TRUE,TRUE,0.230245153756382,0.0457624253311685,0.110274691691787,0.658260837701323,3.32246231124639,1215,243,383,397,28615,29829,75,5.94
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,315,165.6,8.90466216576608,0.400779631295123,hm-model/cp,13,2,10,750,31313,32140,TRUE,TRUE,TRUE,TRUE,8.90466216576608,0.0442901750524417,0.118180251308257,1.96456417731517,1.5818437184357,828,165.6,419,428,31313,32140,75,6.315
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,90,176.6,-2.00956421291146,-0.0277710106723974,hm-model/cp,14,2,8,600,32491,33373,TRUE,TRUE,FALSE,TRUE,-2.00956421291146,0.0517559150290114,0.109405594849201,2.03674234531884,1.78942375279186,883,176.6,435,442,32491,33373,75,6.57
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,135,65,-18.6126549079712,-0.759263242553497,hm-model/cp,15,2,3,225,33825,34149,TRUE,TRUE,FALSE,TRUE,-18.6126549079712,0.0639081282321742,0.173825222075124,1.5999849157587,3.311724721504,325,65,452,454,33825,34149,75,6.795
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,180,56.6,6.51983019465038,0.294545740380219,hm-model/cp,16,2,2,150,34902,35184,TRUE,TRUE,TRUE,TRUE,6.51983019465038,0.0537226834100813,0.110813968485699,1.97740485126632,4.24595679453237,283,56.6,467,468,34902,35184,75,6.99
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,195,191.8,-14.7762877430364,-0.63656003593775,hm-model/cp,17,2,11,825,36038,36996,TRUE,TRUE,FALSE,TRUE,-14.7762877430364,0.0575466726581167,0.127914957511625,0.776369119951927,0.67302848196078,959,191.8,482,492,36038,36996,75,7.275
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,825,269,17.2308903354234,0.771237827911343,hm-model/cp,18,2,17,1275,41022,42366,TRUE,TRUE,TRUE,TRUE,17.2308903354234,0.0458023840701687,0.114555191072245,0.783244720591599,1.77320683131885,1345,269,548,564,41022,42366,75,8.415
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,300,559.4,-0.139464507207176,-0.0856882725436486,hm-model/cp,19,2,36,2700,43774,46570,TRUE,TRUE,FALSE,TRUE,-0.139464507207176,0.0500430474809371,0.105888413164642,1.10603807349862,3.7542971764123,2797,559.4,585,620,43774,46570,75,8.805
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,870,85.8,3.21444137741056,0.177447804367579,hm-model/cp,20,2,5,375,50867,51295,TRUE,TRUE,TRUE,TRUE,3.21444137741056,0.0532438726913464,0.113382311697596,1.01150059928301,5.64088407084608,429,85.8,679,683,50867,51295,75,10.215
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,150,55.8,18.4539225321798,0.739678363403359,hm-model/cp,21,2,2,150,51930,52208,TRUE,TRUE,TRUE,TRUE,18.4539225321798,0.0616756708779352,0.102091965725929,1.08755804925943,2.17326758556911,279,55.8,694,695,51930,52208,75,10.395
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,195,105.8,-15.2262604782223,-0.638344579046253,hm-model/cp,22,2,5,375,53076,53604,TRUE,TRUE,FALSE,TRUE,-15.2262604782223,0.0485596672988179,0.145197470662288,1.51988768050745,1.08185617097116,529,105.8,709,713,53076,53604,75,10.65
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,225,88,-8.21677543563339,-0.337908546160772,hm-model/cp,23,2,4,300,54570,55009,TRUE,TRUE,FALSE,TRUE,-8.21677543563339,0.0454131207798329,0.104076776612194,1.40185212573724,1.03874291307429,440,88,729,732,54570,55009,75,10.92
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,225,147.2,-4.40873943060692,-0.230771977271883,hm-model/cp,24,2,7,525,55931,56666,TRUE,TRUE,FALSE,TRUE,-4.40873943060692,0.052958776597231,0.104974622507339,2.08152885625959,0.843160944466288,736,147.2,748,754,55931,56666,75,11.205
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,615,382.6,12.6537456312475,0.73487376831534,hm-model/cp,25,2,23,1725,59545,61457,TRUE,TRUE,TRUE,TRUE,12.6537456312475,0.0504212838616385,0.0962837656575919,3.15232673056187,1.23313809269029,1913,382.6,796,818,59545,61457,75,11.985
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,285,220.4,-4.20071177607958,-0.313703648096049,hm-model/cp,26,2,14,1050,62839,63940,TRUE,TRUE,FALSE,TRUE,-4.20071177607958,0.0456148535482482,0.101703572498714,1.18748858400377,1.42076609070068,1102,220.4,838,851,62839,63940,75,12.6
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,15,128.2,0.455197324897132,-0.170608666047874,hm-model/cp,27,2,7,525,63970,64610,TRUE,TRUE,FALSE,TRUE,0.455197324897132,0.08807258638353,0.121253440812989,0.980179255000105,1.14106143665514,641,128.2,853,859,63970,64610,75,12.78
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,75,73.8,1.10777763741726,0.0792511764272954,hm-model/cp,28,2,5,375,64732,65100,TRUE,TRUE,TRUE,TRUE,1.10777763741726,0.0600182493012879,0.107516857248052,1.87670435201583,0.972911142324692,369,73.8,865,869,64732,65100,75,12.99
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,45,149,1.47461729871518,0.129164980252948,hm-model/cp,29,2,9,675,65329,66073,TRUE,TRUE,TRUE,TRUE,1.47461729871518,0.0727407164425464,0.100692383868645,0.819077844239397,3.76009787930777,745,149,873,881,65329,66073,75,13.11
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,180,48.6,0.495972362510212,0.0482997157520543,hm-model/cp,30,2,2,150,66977,67219,TRUE,TRUE,TRUE,TRUE,0.495972362510212,0.0547790912893659,0.154930738233215,1.51737625675372,3.04804356997601,243,48.6,894,895,66977,67219,75,13.41
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,165,106.2,18.5479480329123,0.763285047374582,hm-model/cp,31,2,6,450,67951,68481,TRUE,TRUE,TRUE,TRUE,18.5479480329123,0.0482200514806323,0.0777242758142642,0.793741118738539,3.65962253677317,531,106.2,907,912,67951,68481,75,13.62
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,300,237,-5.5835370452313,-0.356052829789925,hm-model/cp,32,2,11,825,69764,70948,TRUE,TRUE,FALSE,TRUE,-5.5835370452313,0.0494958890010371,0.0945420622900291,1.52148810091413,0.95741467345141,1185,237,933,943,69764,70948,75,14.07
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,480,92,-6.09445162846378,-0.250450671266881,hm-model/cp,33,2,4,300,73069,73528,TRUE,TRUE,FALSE,TRUE,-6.09445162846378,0.0512103553482471,0.123042654625704,2.45424827209814,1.40554730404526,460,92,976,979,73069,73528,75,14.67
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,75,127.4,-0.93299339100896,-0.0888913848102894,hm-model/cp,34,2,7,525,73774,74410,TRUE,TRUE,FALSE,TRUE,-0.93299339100896,0.0564105590716874,0.124676499179267,1.602684374178,2.92169356810665,637,127.4,985,991,73774,74410,75,14.76
project_myoV-phosphate,myoV-S217A_pH-7.0_0mM-Pi,2020-03-13,obs-01,120,180.4,5.79936233968728,0.326148930772387,hm-model/cp,35,2,10,750,74861,75762,TRUE,TRUE,TRUE,TRUE,5.79936233968728,0.0418028987823364,0.111294655526574,3.10489298152901,1.6209964239277,902,180.4,1000,1009,74861,75762,75,15.075
