conditions,time_on_avg,time_on_se,time_on_sd,time_on_median,time_off_avg,time_off_se,time_off_sd,time_off_median,displacement_avg,displacement_se,displacement_sd,force_avg,force_se,force_sd,trap_stiffness,myo_stiffness,num_events,N,minutes
myoV-WT_pH-7.0_0mM-Pi,229.47219512195122,23.21963670670511,470.1618091726088,92.5,734.7375,92.763865247863,1855.27730495726,277.5,6.95161608038124,0.547761747171367,11.0913300366698,0.31459880365033777,0.024305860888711943,0.4921561725224839,0.04827854726976672,0.163827990336125,410,2392339,7.97
myoV-WT_pH-7.0_30mM-Pi,145.26726057906458,7.908129149512872,167.57025238321228,106.2,958.2946635730858,72.94926948579709,1514.4661900743884,450,6.635936969410743,0.38552158274896253,8.169055878962027,0.3219405545505352,0.018089453121694878,0.38330863947301846,0.061706950780517564,0.16673402299398604,449,3166715,10.56
myoV-S217A_pH-7.0_0mM-Pi,143.63086053412462,5.928726188710899,153.91868406647762,101.2,781.9954128440367,82.52457631292566,2110.4359561333863,330,7.73445090810927,0.5302106597946068,13.765069331250277,0.34774075500739193,0.02387607780521857,0.6198590320203566,0.025188992083691776,0.06838805168064589,674,3645747,12.15
myoV-S217A_pH-7.0_30mM-Pi,126.94503816793893,3.7834155565585865,86.60634061875255,105.69999999999999,619.2732558139535,50.58938403798027,1149.1699008887251,345,6.712336356018107,0.3936456305121798,9.01096034775305,0.312076275125993,0.017821776923251747,0.40795912042253185,0.05376071789718538,0.11831957867848565,524,2085872,6.95
